config,rpm,AoA,CD,CDvar
base,200.0,-5.0,0.07383776529390315,0.0003148184496206544
base,200.0,-4.0,0.07414170233062667,0.0002992845740315763
base,200.0,-3.0,0.07574245496563285,0.00028181893602370053
base,200.0,-2.0,0.07626005698236907,0.00024844390115985994
base,200.0,-1.0,0.07865457328787687,0.00023424681540598069
base,200.0,0.0,0.0809788477340632,0.00021991509058577466
base,200.0,1.0,0.0839099058003199,0.00019790995749503274
base,200.0,2.0,0.08676045216511251,0.00019593277524749598
base,200.0,3.0,0.09088227614476704,0.00017393701336320354
base,200.0,4.0,0.09488580894526079,0.0001649521193993873
base,200.0,5.0,0.09919588563328152,0.00016297359428333534
base,200.0,6.0,0.10440682639063824,0.0001530603931464777
base,200.0,7.0,0.11218216296869363,0.00013700083221310837
base,200.0,8.0,0.120426148307034,0.00012537805436689398
base,200.0,9.0,0.12885011210272732,0.00011420216390023728
base,200.0,10.0,0.13707970139674042,0.00011403387027932911
base,200.0,11.0,0.1464790059616979,0.00010137991933264096
base,200.0,12.0,0.15574982945428922,8.676253796001076e-05
base,200.0,13.0,0.19065928503923385,0.0011229428191545012
base,200.0,14.0,0.20634235716342975,0.0015272710556502348
base,200.0,15.0,0.22504014015724536,0.0016945098524437578
base,200.0,16.0,0.27566239216261673,0.00019151905450405968
base,200.0,17.0,0.29078009697876744,0.00025594434364750214
base,200.0,18.0,0.30322518456274683,0.0003594871010990121
base,200.0,19.0,0.3212366182390967,0.00020064778493287242
base,200.0,20.0,0.33164589445144793,0.0001394501552397993
base,250.0,-5.0,0.06767667799513252,0.00023088186614605115
base,250.0,-4.0,0.0684855849384338,0.0002249678661862246
base,250.0,-3.0,0.06987823004134837,0.00022181689535178347
base,250.0,-2.0,0.07244523449356012,0.00022114175440169075
base,250.0,-1.0,0.07481625095411712,0.00022206720513004929
base,250.0,0.0,0.07810429364532588,0.00020244015282002388
base,250.0,1.0,0.08224951806489171,0.00019622987407577592
base,250.0,2.0,0.08698612950543008,0.0001917366150891369
base,250.0,3.0,0.09209406373991763,0.00018097477951815104
base,250.0,4.0,0.09683393984440919,0.00017907371539880286
base,250.0,5.0,0.10273478228037632,0.00017911563314468458
base,250.0,6.0,0.10984861498751634,0.0001773557665663618
base,250.0,7.0,0.11703160975373193,0.0002197023747694291
base,250.0,8.0,0.12643299903713046,0.00025483267767018145
base,250.0,9.0,0.13544858300545562,0.00023608365017710036
base,250.0,10.0,0.14456011113222852,0.0002193138012693292
base,250.0,11.0,0.15351308743833503,0.00020884154513413786
base,250.0,12.0,0.1635852688755812,0.000194852521366318
base,250.0,13.0,0.17271488371814364,0.00018774233242990006
base,250.0,14.0,0.21273022515480405,0.0016031900494449826
base,250.0,15.0,0.22694527348053448,0.0017313483387225773
base,250.0,16.0,0.24335046003011865,0.0017537733936838602
base,250.0,17.0,0.29036222662626704,0.00033087815361658495
base,250.0,18.0,0.3055357205239362,0.0007579448154077785
base,250.0,19.0,0.3227997306363607,0.000275646304683081
base,250.0,20.0,0.3378170428895881,0.000265810066095589
base,300.0,-5.0,0.04692381754330548,1.056054505983045e-05
base,300.0,-4.0,0.049839830931199286,1.118919716073583e-05
base,300.0,-3.0,0.05306870541040105,1.0773939469206956e-05
base,300.0,-2.0,0.05578137050286166,9.178518799450292e-06
base,300.0,-1.0,0.05971866704179812,9.213676283577616e-06
base,300.0,0.0,0.06529071699694435,1.0333997191417557e-05
base,300.0,1.0,0.07193884915480087,9.085182215267765e-06
base,300.0,2.0,0.07891574589546065,8.264864324689273e-06
base,300.0,3.0,0.08595892475447701,9.386730517680804e-06
base,300.0,4.0,0.09403645988884089,8.855282936507005e-06
base,300.0,5.0,0.10269248287838373,8.519152643043563e-06
base,300.0,6.0,0.11246235895595147,8.515624707898805e-06
base,300.0,7.0,0.12304279363803647,8.27981538042303e-06
base,300.0,8.0,0.13372409684768685,8.819934691772372e-06
base,300.0,9.0,0.14450943364764343,9.267591212551703e-06
base,300.0,10.0,0.15571789199479374,9.834054034020823e-06
base,300.0,11.0,0.16662106573799892,1.1785460673190666e-05
base,300.0,12.0,0.1781067584372367,1.228975482980575e-05
base,300.0,13.0,0.18921794942392062,1.1341228673948973e-05
base,300.0,14.0,0.22687613371302248,0.0014984815485336537
base,300.0,15.0,0.24592186830945195,0.0011510836438995214
base,300.0,16.0,0.27060721849088115,0.0010477722431911204
base,300.0,17.0,0.3065837334134707,0.0003425951539282495
base,300.0,18.0,0.3179811277040776,0.0003939876757077619
base,300.0,19.0,0.3323446317159196,0.0006011881194912315
base,300.0,20.0,0.34743236367992836,0.0005012384333303382
f9_v0,200.0,-5.0,0.10085388027440764,0.0002823251479662222
f9_v0,200.0,-4.0,0.09344894417321739,0.00026296178194024777
f9_v0,200.0,-3.0,0.08903688178581996,0.00024016020964676715
f9_v0,200.0,-2.0,0.0868695433623926,0.00022140423708071576
f9_v0,200.0,-1.0,0.08730098088653597,0.00020546914423822413
f9_v0,200.0,0.0,0.08863071531549103,0.00019875724638848566
f9_v0,200.0,1.0,0.08983114234576527,0.00017730592222925986
f9_v0,200.0,2.0,0.09367765853295247,0.0001621147401078531
f9_v0,200.0,3.0,0.09826911615456063,0.00014897398322294696
f9_v0,200.0,4.0,0.10319508124098964,0.0001376257054312761
f9_v0,200.0,5.0,0.10737280114039031,0.00013014963827258575
f9_v0,200.0,6.0,0.11099404728440136,0.00013171968892194692
f9_v0,200.0,7.0,0.11751489210608622,0.00011441797522721563
f9_v0,200.0,8.0,0.12521633558972764,0.0001040572224001611
f9_v0,200.0,9.0,0.13243337418677517,8.668252275326209e-05
f9_v0,200.0,10.0,0.14114852345560117,8.445264574308992e-05
f9_v0,200.0,11.0,0.15050851114837865,7.792333015374591e-05
f9_v0,200.0,12.0,0.18025005696145252,0.0007546506179014522
f9_v0,200.0,13.0,0.19676966100346246,0.0010282610165851139
f9_v0,200.0,14.0,0.21815132546106047,0.0015891779792456644
f9_v0,200.0,15.0,0.2673447912935986,0.00028444430704337045
f9_v0,200.0,16.0,0.2903465707165768,0.00010909777962124795
f9_v0,200.0,17.0,0.30763429358273,0.0001267066091898604
f9_v0,200.0,18.0,0.32324905949928645,0.00014017314961883547
f9_v0,200.0,19.0,0.335804673746054,0.0001329614714204492
f9_v0,200.0,20.0,0.3488920453089905,0.00012255119271464303
f9_v0,250.0,-5.0,0.09520281624369667,8.705010779474092e-05
f9_v0,250.0,-4.0,0.09089713633804335,8.234075460113746e-05
f9_v0,250.0,-3.0,0.08537237705069196,7.352414086797996e-05
f9_v0,250.0,-2.0,0.08169988445193893,7.059717441437976e-05
f9_v0,250.0,-1.0,0.07968663726646819,6.735755664923468e-05
f9_v0,250.0,0.0,0.08047170954465792,6.165880814747384e-05
f9_v0,250.0,1.0,0.0821967569748854,5.334669665226157e-05
f9_v0,250.0,2.0,0.08414648956632008,4.7990001970272645e-05
f9_v0,250.0,3.0,0.08729261623040051,4.5669134283419534e-05
f9_v0,250.0,4.0,0.09112552753515041,4.2210743605356555e-05
f9_v0,250.0,5.0,0.09503629368179681,3.818774186062474e-05
f9_v0,250.0,6.0,0.10029387046590166,3.6288683302561514e-05
f9_v0,250.0,7.0,0.10558897092207839,3.143822536399461e-05
