config,rpm,AoA,CL,CLvar
base,200.0,-5.0,-0.0772104155819353,1.8861934838188395e-05
base,200.0,-4.0,0.01641486459602704,2.56211439658613e-05
base,200.0,-3.0,0.0983609721721812,2.1624428181760256e-05
base,200.0,-2.0,0.17736709798365669,2.336087152265629e-05
base,200.0,-1.0,0.24915881392551642,1.1170106475804114e-05
base,200.0,0.0,0.3147024473137313,1.2072523664760445e-05
base,200.0,1.0,0.37499584841852585,7.41293103320302e-06
base,200.0,2.0,0.4358483080497322,8.187574378489391e-06
base,200.0,3.0,0.492458877281851,7.3828741269904174e-06
base,200.0,4.0,0.5562036634418641,1.0738779260131074e-05
base,200.0,5.0,0.629961832596352,1.4599039493017347e-05
base,200.0,6.0,0.6967910709982602,1.0681483506383942e-05
base,200.0,7.0,0.7620589560158889,1.3356650896594424e-05
base,200.0,8.0,0.8249411692838189,1.221058218033678e-05
base,200.0,9.0,0.8831187703041012,5.222641045323042e-06
base,200.0,10.0,0.9334508227444803,1.1396743379233217e-05
base,200.0,11.0,0.9769182223205785,8.620886370445856e-06
base,200.0,12.0,1.0143666790911174,5.616603380463728e-06
base,200.0,13.0,0.9193991859212629,0.015581406538873688
base,200.0,14.0,0.901395871078277,0.024560249375848026
base,200.0,15.0,0.8787349347863737,0.028308803393275538
base,200.0,16.0,0.7210654110287645,0.0008107991508868704
base,200.0,17.0,0.7208112339828737,0.0007297868286225951
base,200.0,18.0,0.7068572158553317,0.0006401102831391373
base,200.0,19.0,0.6595298498901697,0.0007064776941631267
base,200.0,20.0,0.6435868115240031,0.00042277628240509034
base,250.0,-5.0,-0.046365092853145516,2.385468135518761e-05
base,250.0,-4.0,0.044314952968854696,1.873523992643078e-05
base,250.0,-3.0,0.11801067546218777,2.602307530321948e-05
base,250.0,-2.0,0.19083198260710116,1.9640639848047665e-05
base,250.0,-1.0,0.2556464025428096,2.4491488268310962e-05
base,250.0,0.0,0.3214876688438727,2.315822635606537e-05
