config,rpm,AoA,Cm,Cmvar
base,200.0,-5.0,-0.07867337705108143,4.021836206834505e-05
base,200.0,-4.0,-0.08276592994074215,3.5586051691121335e-05
base,200.0,-3.0,-0.08377925590990318,3.174626339626742e-05
base,200.0,-2.0,-0.08465417366797263,2.889943284011548e-05
base,200.0,-1.0,-0.08345852106077695,2.687408676991299e-05
base,200.0,0.0,-0.08020084529721586,2.434350259111142e-05
base,200.0,1.0,-0.07602887319318648,2.130549363664789e-05
base,200.0,2.0,-0.07153417109553671,1.9112388678427445e-05
base,200.0,3.0,-0.06558695677252714,1.7369919093528226e-05
base,200.0,4.0,-0.06236142775026469,1.544797053682101e-05
base,200.0,5.0,-0.05991162827144,1.450100803668494e-05
base,200.0,6.0,-0.0578448898268063,1.2905248197676701e-05
base,200.0,7.0,-0.05540817680104707,1.1536501339984058e-05
base,200.0,8.0,-0.05299239860268521,1.05172470834961e-05
base,200.0,9.0,-0.05025904566161352,1.0376953518998317e-05
base,200.0,10.0,-0.04635764167599317,8.62958756770446e-06
base,200.0,11.0,-0.042228898634675875,7.905948795736743e-06
base,200.0,12.0,-0.0378899031564518,7.373186538332399e-06
base,200.0,13.0,-0.05441866365622565,0.0004061994080181022
base,200.0,14.0,-0.05607157990222677,0.0006545242649910628
base,200.0,15.0,-0.06062468636631474,0.0008812068877321747
base,200.0,16.0,-0.09289402322103045,8.205554582889196e-05
base,200.0,17.0,-0.09349620155549096,6.747810037890506e-05
base,200.0,18.0,-0.09216133364922938,6.116698495153935e-05
base,200.0,19.0,-0.10013875234002183,6.47839852792336e-05
base,200.0,20.0,-0.09905260588296191,3.56837177933066e-05
base,250.0,-5.0,-0.0898748997728136,2.7521041679246974e-05
base,250.0,-4.0,-0.09167475933922456,2.5515828099379408e-05
base,250.0,-3.0,-0.09040764647347822,2.3947522317406004e-05
base,250.0,-2.0,-0.09031061411171666,2.306875759570655e-05
base,250.0,-1.0,-0.08710339357851002,2.1983218331357154e-05
base,250.0,0.0,-0.08332682637230314,2.281048767064451e-05
base,250.0,1.0,-0.08021299137735309,2.2473679888396745e-05
base,250.0,2.0,-0.076489843824921,2.130403652575766e-05
base,250.0,3.0,-0.0727844275329565,2.047234232723628e-05
base,250.0,4.0,-0.06948842229113698,1.9785862216279725e-05
base,250.0,5.0,-0.06747993239519555,1.980002821342118e-05
base,250.0,6.0,-0.06583050267853495,2.056625531627926e-05
base,250.0,7.0,-0.0641900335953423,1.3341889079462109e-05
base,250.0,8.0,-0.06277094672007018,9.522009786677851e-06
base,250.0,9.0,-0.06072636197744662,1.160001134196669e-05
base,250.0,10.0,-0.057769331772344196,1.5550066176993012e-05
base,250.0,11.0,-0.05400379600110637,1.5008459783024897e-05
base,250.0,12.0,-0.050506216461442446,1.68280109106946e-05
base,250.0,13.0,-0.04656377298742637,1.9072129892711455e-05
base,250.0,14.0,-0.0698384192811969,0.0008008090358535789
base,250.0,15.0,-0.07136254742886217,0.0009675218427497432
base,250.0,16.0,-0.07425465684994184,0.0009295190924791146
base,250.0,17.0,-0.10325164857055577,8.277640188330542e-05
base,250.0,18.0,-0.10432073321107128,9.317747435495077e-05
