config,rpm,AoA,LD,LDvar
base,200.0,-5.0,-1.1270201254654837,0.12025188237550564
base,200.0,-4.0,0.22094166539061527,0.0021733920248982047
base,200.0,-3.0,1.3574851416866605,0.0727508563871677
base,200.0,-2.0,2.4238114645939577,0.22778981731100392
base,200.0,-1.0,3.2932475677328905,0.4215407224194004
base,200.0,0.0,4.022456946528303,0.5596255732207399
base,200.0,1.0,4.6051461063584,0.6645981672478276
base,200.0,2.0,5.1653125462969784,0.777918649153843
base,200.0,3.0,5.541424625469469,0.7212589571319853
base,200.0,4.0,5.978205673060842,0.7437213066569748
base,200.0,5.0,6.464854981506399,0.7910800365133747
base,200.0,6.0,6.774307901740204,0.7231543912496706
base,200.0,7.0,6.8721103649620785,0.5769743799471976
base,200.0,8.0,6.913003693718466,0.45877731945906575
base,200.0,9.0,6.902638776867908,0.34774781975779334
base,200.0,10.0,6.852951072955782,0.3117009627676647
base,200.0,11.0,6.702110133596386,0.22820239616167542
base,200.0,12.0,6.536713109182105,0.16066179201729927
base,200.0,13.0,5.083429518644996,2.28930261491853
base,200.0,14.0,4.670659245341569,2.6191476024502505
base,200.0,15.0,4.175869815871557,2.2571825189082895
base,200.0,16.0,2.6206582837388073,0.019019476203852442
base,200.0,17.0,2.4845759968676853,0.018371206567851888
base,200.0,18.0,2.338762446294327,0.02143989505660322
base,200.0,19.0,2.055241916415479,0.007440104062775499
base,200.0,20.0,1.9419709900518163,0.0044382200193171595
base,250.0,-5.0,-0.734633157965503,0.05168813990912573
base,250.0,-4.0,0.6693225523182843,0.012755862722859364
base,250.0,-3.0,1.756852752494902,0.10805825831503725
base,250.0,-2.0,2.743565910166736,0.2983568344063636
base,250.0,-1.0,3.5520377614231293,0.48070237873823496
base,250.0,0.0,4.252178123002912,0.5806091131372134
base,250.0,1.0,4.831823642572058,0.6719644958902795
base,250.0,2.0,5.299943266929574,0.7015587370698797
base,250.0,3.0,5.687686937299803,0.6840180279079723
base,250.0,4.0,6.05321466732026,0.6910479446299339
base,250.0,5.0,6.4114564334049655,0.689867561839646
base,250.0,6.0,6.597325411525373,0.6422355741986953
base,250.0,7.0,6.768995795150419,0.7048896932589155
base,250.0,8.0,6.765260680282449,0.7062048190768286
base,250.0,9.0,6.724058069950409,0.5662523292529531
base,250.0,10.0,6.632215385646138,0.4541838229637482
base,250.0,11.0,6.526001204249783,0.38113012155172993
base,250.0,12.0,6.334369352079526,0.298542385823566
base,250.0,13.0,6.169059126743849,0.24227032367117968
base,250.0,14.0,4.633957974972608,2.57701047507449
base,250.0,15.0,4.300952301213621,2.4820435615359466
base,250.0,16.0,3.949064075214046,1.9728718454604546
base,250.0,17.0,2.5179484507368555,0.022188167060751558
base,250.0,18.0,2.3711418814162757,0.04806410050104696
base,250.0,19.0,2.0728142756095966,0.008912657573594189
base,250.0,20.0,1.9751798362159365,0.007526489482249561
base,300.0,-5.0,-0.7264926190436294,0.008401810412336393
base,300.0,-4.0,1.0037207337997636,0.007549894387515854
base,300.0,-3.0,2.2194176001371724,0.016899017578611064
base,300.0,-2.0,3.3079586607538713,0.03709018447514074
base,300.0,-1.0,4.25872304342889,0.054640853188180336
base,300.0,0.0,5.016738872266987,0.0676181837232302
base,300.0,1.0,5.554769135982436,0.05316384361521549
base,300.0,2.0,5.929605703381434,0.05049245125563994
base,300.0,3.0,6.245517064408217,0.05291358000128995
base,300.0,4.0,6.417541906860258,0.04336298492247355
base,300.0,5.0,6.597647073376591,0.03737765546907811
base,300.0,6.0,6.644146413964863,0.031578136004257434
base,300.0,7.0,6.623440888454291,0.025517575718441456
base,300.0,8.0,6.577309051379499,0.023739228039826053
base,300.0,9.0,6.504126581807907,0.01986196490188906
base,300.0,10.0,6.3498299415679,0.017331129166897392
base,300.0,11.0,6.207806689349225,0.018529742129779717
base,300.0,12.0,6.009752956961122,0.01579562249233336
base,300.0,13.0,5.798170079357018,0.012217094392556561
base,300.0,14.0,4.488359819511646,1.2874870365634024
base,300.0,15.0,3.965943931133423,1.4589103371856273
base,300.0,16.0,3.3789720920313018,1.0636860126656593
base,300.0,17.0,2.459791915733927,0.014545921155823281
base,300.0,18.0,2.3340483740391473,0.015081587608659778
base,300.0,19.0,2.2045594958494465,0.024116271841331915
base,300.0,20.0,2.069023814719,0.02078742434447465
f9_v0,200.0,-5.0,-2.3030833632892542,0.1950408253882717
f9_v0,200.0,-4.0,-1.8237398098113313,0.1345314706536957
f9_v0,200.0,-3.0,-1.2347543745166243,0.06897386891600045
f9_v0,200.0,-2.0,-0.5162042762029336,0.013566194041938371
f9_v0,200.0,-1.0,0.2566627783002923,0.0034147743397074572
f9_v0,200.0,0.0,0.9962163781719875,0.028068638463312076
f9_v0,200.0,1.0,1.7739558284191508,0.07739142541105319
f9_v0,200.0,2.0,2.4497329115709805,0.13658408396463115
f9_v0,200.0,3.0,3.072837393757762,0.19074650125844736
f9_v0,200.0,4.0,3.6185669529564506,0.208501476325728
f9_v0,200.0,5.0,4.220876567260847,0.24059856557424467
f9_v0,200.0,6.0,4.7536022005053225,0.2981818637865294
f9_v0,200.0,7.0,5.072035832600745,0.2641650789917628
f9_v0,200.0,8.0,5.258874308156788,0.23563483315829117
f9_v0,200.0,9.0,5.385307377476335,0.17023649798788043
f9_v0,200.0,10.0,5.404251841082858,0.1532840810150056
f9_v0,200.0,11.0,5.402615537888433,0.11479394481261292
f9_v0,200.0,12.0,4.54017158921744,1.1698802943146014
f9_v0,200.0,13.0,4.2896553951921454,1.3351446846273578
f9_v0,200.0,14.0,3.873816793873592,1.7400998191040502
f9_v0,200.0,15.0,2.536967947303626,0.1219785986641007
f9_v0,200.0,16.0,2.309940729785386,0.007159387139574982
f9_v0,200.0,17.0,2.2026611300183885,0.005334698119598218
f9_v0,200.0,18.0,2.105424770942218,0.0043065660063119
f9_v0,200.0,19.0,1.9987186669643746,0.0029822382930163867
f9_v0,200.0,20.0,1.914940647572527,0.0027183103020515407
f9_v0,250.0,-5.0,-2.6365440536290334,0.07038466465096452
f9_v0,250.0,-4.0,-2.0798865703606606,0.0421377520706353
f9_v0,250.0,-3.0,-1.4821146095748425,0.023558767747772078
f9_v0,250.0,-2.0,-0.7487949590804542,0.007494875916511855
